"","urbrur","hhsize","statocc","rooms","bedrooms","floor","walls","roof","electricity","cook_fuel","phone","cell","car","bicycle","motorcycle","refrigerator","tv","radio","bank","exp_01","exp_02","exp_03","exp_04","exp_05","exp_06","exp_07","exp_08","exp_09","exp_10","exp_11","exp_12"
"72","Urban",2,"Owned",4,2,"Cement","Brick","Concrete","Yes","Gas","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3245,43,571,6630,859,684,2293,977,468,247,246,977
"73","Urban",2,"Owned",4,2,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3204,28,430,8744,1345,661,1342,1521,373,143,266,924
"74","Urban",4,"Owned",3,2,"Cement","Brick","Metal","Yes","Gas","No","No","Yes","No","No","Yes","Yes","No","Yes",3812,37,605,5263,454,442,2082,413,249,737,276,1094
"75","Urban",4,"Rented",3,2,"Cement","Brick","Concrete","Yes","Gas","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes",4221,39,662,4155,385,326,541,759,250,541,220,980
"76","Urban",1,"Owned",1,1,"Cement","Other","Metal","Yes","Petroleum","No","Yes","No","No","No","No","No","No","No",968,114,190,475,288,56,308,536,226,36,779,190
"77","Urban",3,"Owned",4,2,"Other","Brick","Concrete","Yes","Electricity","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",4929,120,2386,10521,2470,678,5808,1843,1693,3611,1485,2533
"78","Urban",1,"Owned",3,1,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","No","Yes","Yes","No","No",772,7,61,2484,99,105,76,85,33,7,28,145
"79","Urban",1,"Rented",2,1,"Cement","Brick","Metal","Yes","Gas","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",1719,109,579,5125,764,233,3502,764,546,140,776,1101
"80","Urban",6,"Owned",4,2,"Cement","Brick","Metal","Yes","Gas","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6883,167,1838,8462,1514,849,6542,1847,1169,1607,979,2530
"81","Urban",1,"Owned",3,1,"Cement","Concrete","Tile","Yes","Wood","No","No","No","No","No","No","No","Yes","No",1101,5,66,2069,142,106,55,45,43,14,33,92
"82","Urban",2,"Owned",5,1,"Tile","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3279,31,331,7259,1332,771,1324,1628,478,70,120,896
"83","Urban",2,"Rented",1,1,"Other","Brick","Concrete","Yes","Gas","No","Yes","No","No","No","No","Yes","Yes","Yes",1731,48,677,2092,255,171,685,479,283,238,521,668
"84","Urban",7,"Owned",2,2,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","No","No","No","Yes","No","No","Yes",3746,57,1034,3287,270,316,719,538,275,1429,424,879
"85","Urban",4,"Owned",4,3,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes",4891,73,1533,6576,1015,515,1511,1608,832,2633,733,1327
"86","Urban",2,"Owned",4,2,"Cement","Stone","Metal","Yes","Electricity","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",2336,60,713,5208,1578,416,3162,630,814,194,103,2382
"87","Urban",4,"Owned",8,3,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",7969,152,3049,13407,3393,1168,8692,3614,2366,5526,1647,2759
"88","Urban",6,"Owned",3,2,"Cement","Brick","Concrete","Yes","Wood","No","No","No","No","No","No","Yes","Yes","No",2803,29,578,3089,136,200,249,101,110,748,174,854
"89","Urban",6,"Owned",2,2,"Cement","Brick","Other","Yes","Coal","No","No","No","No","No","Yes","Yes","Yes","Yes",7213,210,583,3513,417,162,775,83,404,379,556,355
"90","Urban",2,"Owned",1,1,"Cement","Wood","Metal","Yes","Gas","No","No","No","No","No","Yes","Yes","No","No",4158,98,299,2410,333,127,497,95,121,72,242,511
"91","Urban",1,"Rented",4,2,"Other","Brick","Concrete","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",1695,67,626,5196,583,200,751,752,426,163,735,728
"92","Urban",4,"Owned",3,3,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",3854,40,966,5083,993,543,2755,1339,539,1373,544,1055
"93","Urban",2,"Owned",1,1,"Cement","Brick","Metal","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",3018,137,748,2644,429,182,929,654,290,222,549,999
"94","Urban",5,"Rented",4,3,"Other","Brick","Concrete","Yes","Gas","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",3023,27,772,3545,281,328,571,429,231,1009,256,783
"95","Urban",2,"Owned",3,1,"Other","Brick","Concrete","Yes","Gas","No","No","Yes","No","No","Yes","Yes","Yes","Yes",2374,18,240,5298,446,329,1041,318,113,50,119,498
"96","Urban",1,"Rented",2,1,"Cement","Brick","Other","Yes","Gas","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes",1629,105,562,3479,605,148,626,995,424,218,690,615
"97","Urban",1,"Rented",1,1,"Earth","Adobe","Metal","Yes","Gas","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",1468,107,298,1503,673,134,2825,401,442,58,606,415
"98","Urban",3,"Owned",4,3,"Cement","Brick","Scrap","Yes","Gas","No","No","No","No","No","Yes","Yes","Yes","Yes",3142,25,533,3467,328,270,376,230,248,497,115,698
"99","Urban",2,"Free",1,1,"Earth","Cardboard","Metal","Yes","Wood","No","Yes","No","No","No","No","Yes","No","No",2679,90,330,790,423,252,352,290,411,70,256,227
"100","Urban",4,"Owned",5,3,"Cement","Brick","Concrete","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",3386,54,722,4244,209,337,767,499,200,575,320,833
"101","Urban",3,"Rented",3,1,"Cement","Brick","Concrete","Yes","Gas","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3119,42,800,3875,529,433,2086,713,399,768,334,972
"102","Urban",2,"Owned",3,1,"Other","Brick","Concrete","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",1898,16,238,3949,250,265,340,400,89,42,96,409
"103","Urban",3,"Owned",2,1,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","No","No","Yes","Yes","Yes",2532,19,443,2409,178,245,338,137,160,253,103,598
"104","Urban",6,"Rented",1,1,"Cement","Brick","Metal","Yes","Gas","No","No","Yes","No","No","No","Yes","Yes","Yes",2548,36,461,2374,204,176,1147,139,95,299,327,626
"105","Urban",4,"Rented",3,1,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","No","Yes","Yes","No","No",2774,22,361,3093,97,198,250,110,67,380,136,508
"106","Urban",7,"Owned",3,2,"Cement","Brick","Metal","Yes","Gas","No","No","No","No","No","No","No","Yes","No",3513,46,631,3124,204,293,418,117,172,877,147,694
"107","Urban",4,"Owned",3,2,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","No","No","No","No","Yes","Yes","Yes",4186,66,1323,5170,770,453,1133,1481,727,1975,667,1085
"108","Urban",3,"Owned",3,1,"Cement","Concrete","Metal","Yes","Electricity","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3276,84,963,5707,1766,427,3808,727,692,267,127,3467
"109","Urban",5,"Owned",3,1,"Cement","Brick","Concrete","Yes","Gas","No","Yes","No","Yes","Yes","Yes","Yes","No","No",2915,26,647,2749,257,296,473,299,174,647,184,816
"110","Urban",8,"Owned",3,2,"Cement","Brick","Concrete","No","Gas","No","No","No","No","No","No","Yes","Yes","Yes",3663,101,1225,2920,214,223,521,82,203,1972,345,757
"111","Urban",1,"Rented",1,1,"Cement","Brick","Metal","Yes","Gas","No","Yes","No","No","No","No","Yes","Yes","Yes",1089,133,375,1372,230,85,537,523,266,68,883,355
"112","Urban",2,"Owned",4,2,"Other","Adobe","Concrete","Yes","Gas","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3259,31,455,4745,1516,492,717,1378,1037,233,185,782
"113","Urban",1,"Owned",3,1,"Cement","Brick","Concrete","Yes","Gas","Yes","No","No","No","No","Yes","Yes","No","No",1349,11,101,3864,276,198,129,477,95,17,49,272
"114","Urban",4,"Free",3,2,"Cement","Brick","Slate","Yes","Gas","Yes","Yes","No","No","No","Yes","Yes","No","Yes",5247,75,1076,5017,831,487,1133,1205,616,1790,449,1188
"115","Urban",2,"Owned",5,3,"Cement","Brick","Metal","Yes","Gas","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes",4912,60,363,8662,957,842,718,1652,359,77,131,912
"116","Urban",2,"Owned",5,2,"Other","Brick","Concrete","Yes","Gas","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes",2119,31,360,6435,835,343,1458,907,315,172,284,631
"117","Urban",2,"Owned",2,1,"Cement","Brick","Concrete","No","Gas","No","Yes","No","No","No","No","No","Yes","Yes",2050,137,720,1684,257,138,660,469,214,384,1023,420
"118","Urban",5,"Owned",4,3,"Cement","Brick","Concrete","Yes","Gas","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",4620,54,1073,4438,445,492,890,583,355,1078,257,1276
"119","Urban",1,"Rented",1,1,"Cement","Brick","Metal","Yes","Gas","No","Yes","No","No","No","No","No","Yes","Yes",1174,168,350,1145,141,70,401,341,115,64,702,282
"120","Urban",2,"Owned",6,3,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","No","No","Yes","Yes","No",1963,34,188,3025,70,197,237,86,53,59,82,268
"121","Urban",2,"Rented",1,0,"Cement","Brick","Metal","Yes","Coal","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes",1418,68,350,1953,250,86,1755,314,303,128,733,604
"122","Urban",2,"Rented",4,1,"Cement","Brick","Metal","Yes","Electricity","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",2321,153,965,6591,968,268,3936,1006,802,366,724,2068
"123","Urban",4,"Owned",3,1,"Other","Brick","Concrete","Yes","Gas","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",2755,39,850,3149,312,250,667,402,248,635,336,919
"124","Urban",5,"Owned",3,3,"Cement","Brick","Metal","Yes","Gas","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes",4998,90,777,5580,519,598,1357,1430,527,680,293,1095
"125","Urban",1,"Rented",1,1,"Cement","Brick","Concrete","Yes","Wood","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes",1303,71,413,2606,252,67,351,387,159,148,779,431
"126","Urban",2,"Owned",1,1,"Cement","Wood","Metal","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",4191,192,583,1923,531,175,1125,617,307,133,659,614
"127","Urban",1,"Owned",4,1,"Cement","Brick","Slate","Yes","Gas","Yes","Yes","No","No","No","Yes","Yes","No","No",1867,63,306,7659,751,288,593,1177,329,56,394,612
"128","Urban",4,"Owned",2,2,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes",2753,32,655,2759,390,261,594,870,347,964,251,657
"129","Urban",2,"Owned",1,1,"Cement","Adobe","Other","Yes","Gas","No","No","No","No","No","No","Yes","Yes","No",1949,8,92,1292,213,95,77,27,44,14,122,160
"130","Urban",4,"Owned",3,2,"Cement","Brick","Concrete","Yes","Gas","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3641,41,974,3885,497,460,2048,692,402,1211,340,1066
"131","Urban",3,"Owned",4,2,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",4301,85,1085,5790,837,511,3626,1391,531,1050,636,1162
"132","Urban",3,"Owned",6,3,"Cement","Brick","Concrete","Yes","Gas","No","Yes","Yes","No","No","No","Yes","Yes","Yes",2513,23,400,3821,448,646,1205,642,333,242,91,649
"133","Urban",6,"Owned",3,2,"Other","Brick","Concrete","Yes","Coal","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes",5294,144,1305,6216,529,219,932,471,511,1281,978,1311
"134","Urban",10,"Owned",4,2,"Earth","Adobe","Other","No","Wood","No","Yes","No","Yes","No","No","No","Yes","No",6519,383,860,927,676,395,568,366,290,361,246,337
"135","Urban",1,"Owned",3,2,"Cement","Brick","Concrete","Yes","Gas","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes",1345,14,146,3753,449,227,235,719,158,25,88,380
"136","Urban",3,"Owned",5,2,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes",4499,84,1455,8146,1376,567,1822,2047,1007,2035,910,1389
"137","Urban",4,"Owned",3,2,"Other","Brick","Concrete","Yes","Gas","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",4007,62,1160,5733,1105,526,3792,1560,738,1336,714,1218
"138","Urban",2,"Owned",4,2,"Cement","Brick","Concrete","Yes","Gas","No","Yes","No","No","Yes","Yes","Yes","No","Yes",3471,33,445,6092,466,542,668,754,269,174,179,779
"139","Urban",6,"Owned",2,2,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","No","Yes","Yes","Yes","Yes",2873,27,603,2504,132,149,285,73,91,771,243,601
"140","Urban",5,"Owned",1,1,"Cement","Brick","Other","Yes","Gas","No","Yes","No","No","No","Yes","Yes","Yes","Yes",4816,50,927,3474,371,337,531,324,222,546,246,1349
"141","Urban",2,"Owned",4,3,"Cement","Brick","Metal","Yes","Electricity","No","Yes","No","No","No","Yes","Yes","Yes","Yes",1636,140,683,5148,439,169,678,723,439,242,624,799
"142","Urban",3,"Free",4,2,"Other","Brick","Concrete","Yes","Gas","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",3044,60,972,5304,786,439,3485,904,599,759,609,1024
"143","Urban",7,"Owned",3,3,"Cement","Brick","Other","Yes","Gas","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes",4380,77,777,4117,393,501,2623,608,313,455,311,989
"144","Urban",3,"Owned",5,3,"Cement","Brick","Metal","Yes","Wood","No","Yes","No","No","No","Yes","Yes","No","Yes",2365,45,275,3352,235,167,372,255,148,195,160,472
"145","Urban",4,"Rented",2,1,"Cement","Brick","Concrete","Yes","Gas","No","No","No","No","Yes","Yes","Yes","No","No",2547,17,436,2561,156,178,262,104,91,371,120,676
